word,coefficient
delicious,7.957972202146907
excellent,6.549877318972588
amazing,5.9577897506606075
great,5.354538504155332
perfect,5.122643720867919
best,4.05790239408628
loved,3.8851601617517413
generous,3.7522857099206735
good,3.6826027665861316
cantonese,3.293152431780635
love,3.271525485098761
fantastic,3.262863825834304
enjoyed,3.2068411810321105
perfection,3.0551507645890346
tasty,2.8809178111894127
fabulous,2.8779378637980786
spot,2.8577457218303923
friendly,2.8155116141878493
outstanding,2.692775357337485
able,2.4972624631198617
